Script started on 2023-04-05 21:38:32+05:30 [TERM="xterm-256color" TTY="/dev/pts/4" COLUMNS="137" LINES="18"]
[?2004h]0;yuvansasubilli@Yuvan-PC: /mnt/d/CS3205/lab4[01;32myuvansasubilli@Yuvan-PC[00m:[01;34m/mnt/d/CS3205/lab4[00m$ python3 Receive.py -d -p 7777 -n 400 -e 0.1
[?2004lSeq #:0 Time Received: 1680711000.661026 Packet dropped: false
Seq #:104 Time Received: 1680711002.3563993 Packet dropped: false
Seq #:105 Time Received: 1680711002.3565779 Packet dropped: false
Seq #:106 Time Received: 1680711002.356676 Packet dropped: false
Seq #:107 Time Received: 1680711002.367161 Packet dropped: false
Seq #:108 Time Received: 1680711002.3679197 Packet dropped: false
Seq #:109 Time Received: 1680711002.3681464 Packet dropped: false
Seq #:110 Time Received: 1680711002.3776188 Packet dropped: false
Seq #:111 Time Received: 1680711002.3778572 Packet dropped: false
Seq #:112 Time Received: 1680711002.3779488 Packet dropped: false
Seq #:113 Time Received: 1680711002.3883157 Packet dropped: false
Seq #:115 Time Received: 1680711002.3885067 Packet dropped: true
Seq #:114 Time Received: 1680711002.3990672 Packet dropped: false
Seq #:115 Time Received: 1680711002.3998644 Packet dropped: false
Seq #:116 Time Received: 1680711002.4097862 Packet dropped: false
Seq #:117 Time Received: 1680711002.4099853 Packet dropped: false
Seq #:118 Time Received: 1680711002.4101057 Packet dropped: false
Seq #:119 Time Received: 1680711002.4204023 Packet dropped: false
Seq #:120 Time Received: 1680711002.4206495 Packet dropped: false
Seq #:121 Time Received: 1680711002.4208064 Packet dropped: false
Seq #:122 Time Received: 1680711002.4315836 Packet dropped: false
Seq #:123 Time Received: 1680711002.432101 Packet dropped: false
Seq #:124 Time Received: 1680711002.4322085 Packet dropped: false
Seq #:125 Time Received: 1680711002.4421086 Packet dropped: false
Seq #:126 Time Received: 1680711002.442308 Packet dropped: false
Seq #:127 Time Received: 1680711002.4424224 Packet dropped: false
Seq #:129 Time Received: 1680711002.452761 Packet dropped: true
Seq #:130 Time Received: 1680711002.4529877 Packet dropped: true
Seq #:128 Time Received: 1680711002.4641247 Packet dropped: false
Seq #:129 Time Received: 1680711002.4647522 Packet dropped: false
Seq #:130 Time Received: 1680711002.4648352 Packet dropped: false
Seq #:131 Time Received: 1680711002.4746652 Packet dropped: false
Seq #:132 Time Received: 1680711002.4748583 Packet dropped: false
